"","label_micro","plot","sample_prokariota","sample_fungi","treatment","date","day","month","year","date_label","date_label_noyear","sampling"
"62","D",8,"D8b","D8f","w",2023-09-04,4,"Sep",2023,"04-Sep-23","Sep 04",4
"63","D",11,"D11b","D11f","c",2023-09-04,4,"Sep",2023,"04-Sep-23","Sep 04",4
"64","D",14,"D14b","D14f","c",2023-09-04,4,"Sep",2023,"04-Sep-23","Sep 04",4
"65","E",7,"E7b","E7f","c",2023-11-13,13,"Nov",2023,"13-Nov-23","Nov 13",5
"66","E",3,"E3b","E3f","p",2023-11-13,13,"Nov",2023,"13-Nov-23","Nov 13",5
"67","E",13,"E13b","E13f","wp",2023-11-13,13,"Nov",2023,"13-Nov-23","Nov 13",5
"68","E",12,"E12b","E12f","wp",2023-11-13,13,"Nov",2023,"13-Nov-23","Nov 13",5
"69","E",5,"E5b","E5f","wp",2023-11-13,13,"Nov",2023,"13-Nov-23","Nov 13",5
"70","E",15,"E15b","E15f","p",2023-11-13,13,"Nov",2023,"13-Nov-23","Nov 13",5
"71","E",8,"E8b","E8f","w",2023-11-13,13,"Nov",2023,"13-Nov-23","Nov 13",5
"72","E",10,"E10b","E10f","p",2023-11-13,13,"Nov",2023,"13-Nov-23","Nov 13",5
"73","E",4,"E4b","E4f","wp",2023-11-13,13,"Nov",2023,"13-Nov-23","Nov 13",5
"74","E",16,"E16b","E16f","w",2023-11-13,13,"Nov",2023,"13-Nov-23","Nov 13",5
"75","E",2,"E2b","E2f","c",2023-11-13,13,"Nov",2023,"13-Nov-23","Nov 13",5
"76","E",9,"E9b","E9f","w",2023-11-13,13,"Nov",2023,"13-Nov-23","Nov 13",5
"77","E",14,"E14b","E14f","c",2023-11-13,13,"Nov",2023,"13-Nov-23","Nov 13",5
"78","E",6,"E6b","E6f","p",2023-11-13,13,"Nov",2023,"13-Nov-23","Nov 13",5
"79","E",1,"E1b","E1f","w",2023-11-13,13,"Nov",2023,"13-Nov-23","Nov 13",5
"80","E",11,"E11b","E11f","c",2023-11-13,13,"Nov",2023,"13-Nov-23","Nov 13",5
"81","F",6,"F6b","F6f","p",2024-04-03,3,"Apr",2024,"03-Apr-24","Apr 03",6
"82","F",13,"F13b","F13f","wp",2024-04-03,3,"Apr",2024,"03-Apr-24","Apr 03",6
"83","F",15,"F15b","F15f","p",2024-04-03,3,"Apr",2024,"03-Apr-24","Apr 03",6
"84","F",3,"F3b","F3f","p",2024-04-03,3,"Apr",2024,"03-Apr-24","Apr 03",6
"85","F",14,"F14b","F14f","c",2024-04-03,3,"Apr",2024,"03-Apr-24","Apr 03",6
"86","F",16,"F16b","F16f","w",2024-04-03,3,"Apr",2024,"03-Apr-24","Apr 03",6
"87","F",7,"F7b","F7f","c",2024-04-03,3,"Apr",2024,"03-Apr-24","Apr 03",6
"88","F",1,"F1b","F1f","w",2024-04-03,3,"Apr",2024,"03-Apr-24","Apr 03",6
"89","F",10,"F10b","F10f","p",2024-04-03,3,"Apr",2024,"03-Apr-24","Apr 03",6
"90","F",8,"F8b","F8f","w",2024-04-03,3,"Apr",2024,"03-Apr-24","Apr 03",6
"91","F",4,"F4b","F4f","wp",2024-04-03,3,"Apr",2024,"03-Apr-24","Apr 03",6
"92","F",9,"F9b","F9f","w",2024-04-03,3,"Apr",2024,"03-Apr-24","Apr 03",6
"93","F",11,"F11b","F11f","c",2024-04-03,3,"Apr",2024,"03-Apr-24","Apr 03",6
"94","F",2,"F2b","F2f","c",2024-04-03,3,"Apr",2024,"03-Apr-24","Apr 03",6
"95","F",5,"F5b","F5f","wp",2024-04-03,3,"Apr",2024,"03-Apr-24","Apr 03",6
"96","F",12,"F12b","F12f","wp",2024-04-03,3,"Apr",2024,"03-Apr-24","Apr 03",6
"97","G",2,"G2b","G2f","c",2024-05-28,28,"May",2024,"28-May-24","May 28",7
"98","G",13,"G13b","G13f","wp",2024-05-28,28,"May",2024,"28-May-24","May 28",7
"99","G",3,"G3b","G3f","p",2024-05-28,28,"May",2024,"28-May-24","May 28",7
"100","G",4,"G4b","G4f","wp",2024-05-28,28,"May",2024,"28-May-24","May 28",7
"101","G",11,"G11b","G11f","c",2024-05-28,28,"May",2024,"28-May-24","May 28",7
"102","G",7,"G7b","G7f","c",2024-05-28,28,"May",2024,"28-May-24","May 28",7
"103","G",9,"G9b","G9f","w",2024-05-28,28,"May",2024,"28-May-24","May 28",7
"104","G",12,"G12b","G12f","wp",2024-05-28,28,"May",2024,"28-May-24","May 28",7
"105","G",8,"G8b","G8f","w",2024-05-28,28,"May",2024,"28-May-24","May 28",7
"106","G",15,"G15b","G15f","p",2024-05-28,28,"May",2024,"28-May-24","May 28",7
"107","G",6,"G6b","G6f","p",2024-05-28,28,"May",2024,"28-May-24","May 28",7
"108","G",10,"G10b","G10f","p",2024-05-28,28,"May",2024,"28-May-24","May 28",7
"109","G",16,"G16b","G16f","w",2024-05-28,28,"May",2024,"28-May-24","May 28",7
"110","G",1,"G1b","G1f","w",2024-05-28,28,"May",2024,"28-May-24","May 28",7
"111","G",5,"G5b","G5f","wp",2024-05-28,28,"May",2024,"28-May-24","May 28",7
"112","G",14,"G14b","G14f","c",2024-05-28,28,"May",2024,"28-May-24","May 28",7
"113","H",7,"H7b","H7f","c",2024-10-21,21,"Oct",2024,"21-Oct-24","Oct 21",8
"114","H",9,"H9b","H9f","w",2024-10-21,21,"Oct",2024,"21-Oct-24","Oct 21",8
"115","H",13,"H13b","H13f","wp",2024-10-21,21,"Oct",2024,"21-Oct-24","Oct 21",8
"116","H",16,"H16b","H16f","w",2024-10-21,21,"Oct",2024,"21-Oct-24","Oct 21",8
"117","H",3,"H3b","H3f","p",2024-10-21,21,"Oct",2024,"21-Oct-24","Oct 21",8
"118","H",12,"H12b","H12f","wp",2024-10-21,21,"Oct",2024,"21-Oct-24","Oct 21",8
"119","H",5,"H5b","H5f","wp",2024-10-21,21,"Oct",2024,"21-Oct-24","Oct 21",8
"120","H",4,"H4b","H4f","wp",2024-10-21,21,"Oct",2024,"21-Oct-24","Oct 21",8
"121","H",8,"H8b","H8f","w",2024-10-21,21,"Oct",2024,"21-Oct-24","Oct 21",8
"122","H",2,"H2b","H2f","c",2024-10-21,21,"Oct",2024,"21-Oct-24","Oct 21",8
"123","H",1,"H1b","H1f","w",2024-10-21,21,"Oct",2024,"21-Oct-24","Oct 21",8
"124","H",11,"H11b","H11f","c",2024-10-21,21,"Oct",2024,"21-Oct-24","Oct 21",8
"125","H",10,"H10b","H10f","p",2024-10-21,21,"Oct",2024,"21-Oct-24","Oct 21",8
"126","H",14,"H14b","H14f","c",2024-10-21,21,"Oct",2024,"21-Oct-24","Oct 21",8
"127","H",6,"H6b","H6f","p",2024-10-21,21,"Oct",2024,"21-Oct-24","Oct 21",8
"128","H",15,"H15b","H15f","p",2024-10-21,21,"Oct",2024,"21-Oct-24","Oct 21",8
