"sampling","date","date_EGM","date_label_noyear","treatment","plot","time","label_micro","SRL_rate","SRQ_rate"
2,2023-06-14,"01/06/23","Jun 14","wp",12,12:25:20,"B",0.3233,0.2596
2,2023-06-14,"01/06/23","Jun 14","wp",13,12:28:37,"B",0.2486,0.2111
4,2023-07-11,"11/07/23","Jul 11","c",2,10:51:18,"C",0.2505,0.128
4,2023-07-11,"11/07/23","Jul 11","c",7,11:11:48,"C",0.4811,0.4381
4,2023-07-11,"11/07/23","Jul 11","c",11,11:21:45,"C",0.641,0.6202
4,2023-07-11,"11/07/23","Jul 11","c",14,11:30:11,"C",0.3573,0.2183
4,2023-07-11,"11/07/23","Jul 11","p",3,10:54:43,"C",0.1051,0.0088
4,2023-07-11,"11/07/23","Jul 11","p",6,11:09:22,"C",0.3872,0.3628
4,2023-07-11,"11/07/23","Jul 11","p",10,11:19:25,"C",0.1864,0.1707
4,2023-07-11,"11/07/23","Jul 11","p",15,11:32:36,"C",0.3311,0.3255
4,2023-07-11,"11/07/23","Jul 11","w",1,10:49:21,"C",0.209,0.0505
4,2023-07-11,"11/07/23","Jul 11","w",8,11:14:28,"C",0.4959,0.3935
4,2023-07-11,"11/07/23","Jul 11","w",9,11:17:19,"C",0.6023,0.6461
4,2023-07-11,"11/07/23","Jul 11","w",16,11:35:26,"C",0.4344,0.3911
4,2023-07-11,"11/07/23","Jul 11","wp",4,10:57:17,"C",0.1221,0.0374
4,2023-07-11,"11/07/23","Jul 11","wp",5,11:07:29,"C",0.295,0.2438
4,2023-07-11,"11/07/23","Jul 11","wp",12,11:24:35,"C",0.5805,0.5297
4,2023-07-11,"11/07/23","Jul 11","wp",13,11:27:12,"C",0.2926,0.2775
7,2023-09-04,"07/09/23","Sep 04","c",2,10:18:31,"D",0.5449,0.6067
7,2023-09-04,"07/09/23","Sep 04","c",7,10:38:45,"D",0.6667,0.5933
7,2023-09-04,"07/09/23","Sep 04","c",11,10:51:41,"D",0.7759,0.8038
7,2023-09-04,"07/09/23","Sep 04","c",14,11:03:04,"D",0.6185,0.562
7,2023-09-04,"07/09/23","Sep 04","p",3,10:21:25,"D",0.4448,0.3259
7,2023-09-04,"07/09/23","Sep 04","p",6,10:35:42,"D",0.5265,0.5339
7,2023-09-04,"07/09/23","Sep 04","p",10,10:49:12,"D",0.4117,0.4033
7,2023-09-04,"07/09/23","Sep 04","p",15,11:05:55,"D",0.4075,0.4087
7,2023-09-04,"07/09/23","Sep 04","w",1,10:15:53,"D",0.5676,0.4749
7,2023-09-04,"07/09/23","Sep 04","w",8,10:42:00,"D",0.5027,0.4353
7,2023-09-04,"07/09/23","Sep 04","w",9,10:45:10,"D",0.6231,0.5299
7,2023-09-04,"07/09/23","Sep 04","w",16,11:10:13,"D",0.6598,0.6779
7,2023-09-04,"07/09/23","Sep 04","wp",4,10:24:19,"D",0.36,0.3382
7,2023-09-04,"07/09/23","Sep 04","wp",5,10:32:06,"D",0.3996,0.4404
7,2023-09-04,"07/09/23","Sep 04","wp",12,10:56:54,"D",0.6364,0.6506
7,2023-09-04,"07/09/23","Sep 04","wp",13,10:59:41,"D",0.3741,0.3667
11,2023-11-13,"16/11/23","Nov 13","c",2,14:00:28,"E",0.3366,0.2916
11,2023-11-13,"16/11/23","Nov 13","c",7,14:19:49,"E",0.4701,0.526
11,2023-11-13,"16/11/23","Nov 13","p",3,14:03:48,"E",0.3709,0.3035
11,2023-11-13,"16/11/23","Nov 13","p",6,14:16:33,"E",0.4665,0.426
11,2023-11-13,"16/11/23","Nov 13","p",10,14:31:27,"E",0.1903,0.1777
11,2023-11-13,"16/11/23","Nov 13","w",1,13:57:27,"E",0.5064,0.573
11,2023-11-13,"16/11/23","Nov 13","w",8,14:23:16,"E",0.5872,0.6302
11,2023-11-13,"16/11/23","Nov 13","w",9,14:28:37,"E",0.429,0.4393
11,2023-11-13,"16/11/23","Nov 13","wp",4,14:09:56,"E",0.1995,0.2118
11,2023-11-13,"16/11/23","Nov 13","wp",5,14:13:14,"E",0.496,0.3983
11,2023-11-13,"17/11/23","Nov 13","c",11,10:59:38,"E",0.3767,0.453
11,2023-11-13,"17/11/23","Nov 13","c",14,11:11:38,"E",0.3422,0.395
11,2023-11-13,"17/11/23","Nov 13","p",15,11:14:48,"E",0.3292,0.3555
11,2023-11-13,"17/11/23","Nov 13","w",16,11:17:31,"E",0.2526,0.2118
11,2023-11-13,"17/11/23","Nov 13","wp",12,11:02:44,"E",0.208,0.2072
11,2023-11-13,"17/11/23","Nov 13","wp",13,11:06:42,"E",0.1786,0.1788
13,2024-04-03,"08/04/24","Apr 03","c",2,12:36:30,"F",0.7206,0.8027
13,2024-04-03,"08/04/24","Apr 03","c",7,13:01:46,"F",0.5127,0.5488
13,2024-04-03,"08/04/24","Apr 03","c",11,13:21:03,"F",0.8825,0.91
13,2024-04-03,"08/04/24","Apr 03","c",14,13:34:08,"F",1.1327,1.1784
13,2024-04-03,"08/04/24","Apr 03","p",3,12:46:04,"F",1.0172,1.0092
13,2024-04-03,"08/04/24","Apr 03","p",6,12:57:46,"F",0.3808,0.4657
13,2024-04-03,"08/04/24","Apr 03","p",10,13:17:11,"F",1.8163,2.1885
13,2024-04-03,"08/04/24","Apr 03","p",15,13:47:40,"F",1.0261,1.0711
13,2024-04-03,"08/04/24","Apr 03","w",1,12:41:24,"F",0.8137,0.8648
13,2024-04-03,"08/04/24","Apr 03","w",8,13:06:51,"F",0,0
13,2024-04-03,"08/04/24","Apr 03","w",9,13:12:49,"F",1.8162,2.1176
13,2024-04-03,"08/04/24","Apr 03","w",16,13:38:19,"F",0.5049,0.526
13,2024-04-03,"08/04/24","Apr 03","wp",4,12:49:41,"F",0.7157,0.714
13,2024-04-03,"08/04/24","Apr 03","wp",5,12:53:14,"F",0.8176,0.8471
13,2024-04-03,"08/04/24","Apr 03","wp",12,13:25:03,"F",0.5457,0.6213
13,2024-04-03,"08/04/24","Apr 03","wp",13,13:29:49,"F",0.6273,0.6849
16,2024-05-28,"31/05/24","May 28","c",2,10:34:55,"G",0.7493,0.7058
16,2024-05-28,"31/05/24","May 28","c",7,10:58:11,"G",0.6291,0.6346
16,2024-05-28,"31/05/24","May 28","c",11,11:19:09,"G",0.6358,0.6103
16,2024-05-28,"31/05/24","May 28","c",14,11:32:28,"G",0.7638,0.9368
16,2024-05-28,"31/05/24","May 28","p",3,10:42:29,"G",1.0058,0.9949
16,2024-05-28,"31/05/24","May 28","p",3,10:42:29,"G",1.0058,0.9949
16,2024-05-28,"31/05/24","May 28","p",6,10:54:32,"G",0.9069,0.7952
16,2024-05-28,"31/05/24","May 28","p",10,11:13:17,"G",0.5871,0.6035
16,2024-05-28,"31/05/24","May 28","p",15,11:35:55,"G",0.7862,0.8479
16,2024-05-28,"31/05/24","May 28","w",1,10:38:34,"G",0.6478,0.6687
16,2024-05-28,"31/05/24","May 28","w",8,11:05:14,"G",1.141,1.1714
16,2024-05-28,"31/05/24","May 28","w",9,11:08:33,"G",1.0172,0.8959
16,2024-05-28,"31/05/24","May 28","w",16,11:39:49,"G",0.5102,0.498
16,2024-05-28,"31/05/24","May 28","wp",4,10:46:38,"G",0.6678,0.6343
16,2024-05-28,"31/05/24","May 28","wp",5,10:51:29,"G",0.5492,0.5507
16,2024-05-28,"31/05/24","May 28","wp",12,11:24:05,"G",0.501,0.4623
16,2024-05-28,"31/05/24","May 28","wp",13,11:28:27,"G",0.609,0.5802
