Sample_Name	chao1	dominance	goods_coverage	observed_features	pielou_e	shannon	simpson
B4f	451.254	0.053	0.997	416	0.663	5.769	0.947
B5f	526.382	0.050	0.997	466	0.665	5.898	0.950
B12f	511.043	0.041	0.997	474	0.689	6.127	0.959
B13f	609.012	0.038	0.997	569	0.700	6.404	0.962
C4f	528.800	0.019	0.999	520	0.775	6.997	0.981
C5f	379.560	0.160	0.998	357	0.552	4.682	0.840
C12f	476.473	0.030	0.998	463	0.718	6.359	0.970
C13f	467.138	0.037	0.998	453	0.707	6.236	0.963
D4f	356.143	0.028	1.000	354	0.742	6.287	0.972
D5f	492.958	0.037	0.998	481	0.682	6.079	0.963
D12f	386.935	0.069	0.999	374	0.618	5.286	0.931
D13f	539.786	0.026	0.997	518	0.713	6.426	0.974
E4f	458.392	0.062	0.997	432	0.620	5.428	0.938
E5f	407.050	0.130	0.998	392	0.556	4.787	0.870
E12f	451.027	0.032	0.998	434	0.720	6.312	0.968
E13f	505.169	0.034	0.997	471	0.691	6.132	0.966
F4f	522.717	0.029	0.998	495	0.714	6.390	0.971
F5f	424.125	0.034	0.998	411	0.697	6.055	0.966
F12f	428.375	0.038	0.998	413	0.692	6.017	0.962
F13f	433.333	0.037	0.999	425	0.716	6.254	0.963
